RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
1,10,Amir Ghafour,IRI,214,21,14,249
2,11,Yuji Nishida,JPN,183,13,23,219
3,18,Ricardo Lucarelli Souza,BRA,173,14,23,210
4,13,Simon Hirsch,GER,170,21,13,204
5,9,Yoandy Leal Hidalgo,BRA,161,22,19,202
6,12,Bruno Lima,ARG,177,16,6,199
7,15,Victor Poletaev,RUS,158,20,16,194
8,14,Yuki Ishikawa,JPN,170,12,11,193
9,18,Lincoln Alexander Williams,AUS,156,10,12,178
10,2,Chuan Jiang,CHN,152,19,6,177
11,6,Alexandre Ferreira,POR,139,19,13,171
12,2,Milad Ebadipour Ghara H.,IRI,141,15,9,165
13,8,Wallace De Souza,BRA,152,9,3,164
14,18,Egor Kliuka,RUS,111,23,28,162
15,7,Facundo Conte,ARG,138,15,8,161
16,4,Jean Patry,FRA,148,13,0,161
17,10,Sharone Vernon-Evans,CAN,130,16,14,160
18,19,Tsvetan Sokolov,BUL,141,10,8,159
19,20,Gabriele Nelli,ITA,135,11,13,159
20,7,Stephen Timothy Maar,CAN,136,12,10,158
21,7,Marco Evan Baptista Ferreira,POR,145,7,4,156
22,13,Benjamin Patch,USA,141,9,1,151
23,20,Ilyas Kurkaev,RUS,107,33,8,148
24,18,Garrett Muagututia,USA,119,13,16,148
25,7,Purya Fayazi D.,IRI,119,13,14,146
26,1,Christian Fromm,GER,133,2,9,144
27,3,Taylor Sander,USA,122,12,10,144
28,16,Oleg Antonov,ITA,113,22,7,142
29,22,Bartosz Bednorz,POL,117,16,9,142
30,6,Seyed Mohammad Mousavi Eraghi,IRI,94,32,12,138
31,2,Maciej Muzaj,POL,111,21,4,136
32,18,Bartosz Kwolek,POL,108,13,14,135
33,21,Alan Souza,BRA,115,7,10,132
34,15,Luke Smith,AUS,109,11,11,131
35,4,Nicholas Hoag,CAN,113,9,6,128
36,5,Lazar Cirovic,SRB,100,19,8,127
37,23,Bozidar Vucicevic,SRB,94,14,16,124
38,6,Rozalin Penchev,BUL,107,7,8,122
39,7,Dmitry Volkov,RUS,91,18,12,121
40,14,Aleksander Sliwka,POL,107,5,6,118
41,12,Stephen Boyer,FRA,101,8,8,117
42,3,Ruben Schott,GER,92,10,15,117
43,14,Douglas Correia De Souza,BRA,106,8,2,116
44,9,Ivan Iakovlev,RUS,70,32,13,115
45,24,Giulio Pinali,ITA,98,8,8,114
46,12,Dusan Petkovic,SRB,103,4,7,114
47,1,Qingyao Dai,CHN,88,18,6,112
48,16,Ali Shafiei,IRI,81,20,11,112
49,19,Daniele Lavia,ITA,98,7,6,111
50,23,Flavio Gualberto,BRA,73,31,6,110
51,16,Ryan Joseph Sclater,CAN,98,6,6,110
52,17,Graham Vigrass,CAN,67,31,12,110
53,13,Ezequiel Palacios,ARG,93,5,9,107
54,5,Lukasz Kaczmarek,POL,91,13,3,107
55,16,Lucas Saatkamp,BRA,82,18,6,106
56,20,David Smith,USA,68,25,13,106
57,12,Anton Brehme,GER,84,20,1,105
58,77,Karol Klos,POL,67,29,9,105
59,21,Barthélémy Chinenyeze,FRA,81,20,2,103
60,5,Tatsuya Fukuzawa,JPN,91,6,2,99
61,7,Petar Krsmanovic,SRB,73,21,4,98
62,4,Filip Cveticanin,POR,69,24,4,97
63,13,Samuel Walker,AUS,75,5,16,96
64,7,Kevin Tillie,FRA,80,11,4,95
65,8,Torey Defalco,USA,76,9,10,95
66,7,Nikolay Uchikov,BUL,84,6,3,93
67,22,Oreste Cavuto,ITA,75,14,3,92
68,20,Taishi Onodera,JPN,65,16,11,92
69,99,Norbert Huber,POL,58,28,6,92
70,17,Libin Liu,CHN,69,13,7,89
71,5,Moritz Reichert,GER,81,3,5,89
72,2,John Gordon Perrin,CAN,74,12,2,88
73,12,Lourenco Martins,POR,70,11,7,88
74,15,Roberto Russo,ITA,66,11,9,86
75,5,Svetoslav Gotsev,BUL,51,28,6,85
76,2,Federico Pereyra,ARG,79,2,3,84
77,3,Dawid Konarski,POL,73,8,3,84
78,14,Yaroslav Podlesnykh,RUS,69,8,7,84
79,10,Miran Kujundžić,SRB,73,4,5,82
80,16,Drazen Luburic,SRB,74,4,4,82
81,8,Agustin Loser,ARG,50,26,5,81
82,20,Mateusz Bieniek,POL,55,14,12,81
83,12,Maxwell Holt,USA,42,30,9,81
