TEAM,SPIKES,FAULTS,SHOTS,TOTAL_ATTEMPTS
ARG, 812.000000, 230.000000, 589.000000, 1631.000000 
IRI, 815.000000, 231.000000, 593.000000, 1639.000000 
BRA, 993.000000, 296.000000, 585.000000, 1874.000000 
CAN, 751.000000, 233.000000, 539.000000, 1523.000000 
JPN, 783.000000, 262.000000, 588.000000, 1633.000000 
RUS, 853.000000, 267.000000, 511.000000, 1631.000000 
ITA, 740.000000, 240.000000, 555.000000, 1535.000000 
BUL, 682.000000, 253.000000, 500.000000, 1435.000000 
FRA, 837.000000, 319.000000, 587.000000, 1743.000000 
GER, 775.000000, 269.000000, 613.000000, 1657.000000 
AUS, 670.000000, 268.000000, 510.000000, 1448.000000 
POR, 620.000000, 244.000000, 494.000000, 1358.000000 
CHN, 555.000000, 201.000000, 475.000000, 1231.000000 
USA, 915.000000, 287.000000, 629.000000, 1831.000000 
SRB, 765.000000, 244.000000, 533.000000, 1542.000000 
POL, 1005.000000, 298.000000, 758.000000, 2061.000000 
