RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
1,12,Bruno Lima,ARG,177,50,98,325,54.46
13,7,Facundo Conte,ARG,138,49,101,288,47.92
29,2,Federico Pereyra,ARG,79,27,51,157,
30,3,Jan Martinez Franchi,ARG,38,12,35,85,
31,4,Maximiliano Cavanna,ARG,2,0,1,3,
32,5,Nicolas Uriarte,ARG,8,1,12,21,
33,6,Cristian Poglajen,ARG,59,23,60,142,
34,8,Agustin Loser,ARG,50,9,38,97,
35,11,Sebastian Solé,ARG,53,9,31,93,
36,13,Ezequiel Palacios,ARG,93,24,81,198,
37,14,Pablo Crer,ARG,34,7,22,63,
38,15,Luciano De Cecco,ARG,7,5,7,19,
39,17,Nicolas Mendez,ARG,18,8,24,50,
40,18,Martin Ramos,ARG,56,6,28,90,
