RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
15,18,Lincoln Alexander Williams,AUS,156,68,103,327,47.71
24,15,Luke Smith,AUS,109,29,104,242,45.04
41,1,Beau Graham,AUS,54,14,33,101,
42,2,Arshdeep Dosanjh,AUS,29,3,16,48,
43,7,Harrison Peacock,AUS,0,2,2,4,
44,8,Trent O'dea,AUS,47,10,37,94,
45,9,Max Staples,AUS,33,11,34,78,
46,10,Jordan Richards,AUS,60,27,35,122,
47,12,Nehemiah Mote,AUS,13,6,6,25,
48,13,Samuel Walker,AUS,75,38,78,191,
49,22,Curtis Jeffrey Arthur Stockton,AUS,60,38,36,134,
50,23,James Weir,AUS,27,12,14,53,
51,24,Elliott Viles,AUS,7,10,12,29,
