RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
3,18,Ricardo Lucarelli Souza,BRA,173,54,91,318,54.40
9,9,Yoandy Leal Hidalgo,BRA,161,58,99,318,50.63
17,8,Wallace De Souza,BRA,152,71,110,333,45.65
52,1,Bruno Mossa Rezende,BRA,5,1,6,12,
53,2,Isac Santos,BRA,55,8,26,89,
54,3,Eder Carbonera,BRA,1,0,0,1,
55,5,Lucas Eduardo Loh,BRA,4,0,1,5,
56,6,Fernando Gil Kreling,BRA,2,0,4,6,
57,13,Mauricio Luiz De Souza,BRA,44,5,22,71,
58,14,Douglas Correia De Souza,BRA,106,29,69,204,
59,16,Lucas Saatkamp,BRA,82,12,38,132,
60,19,Mauricio Borges Almeida Silva,BRA,20,10,14,44,
61,21,Alan Souza,BRA,115,38,76,229,
62,23,Flavio Gualberto,BRA,73,9,29,111,
63,29,Rafael Araujo,BRA,0,1,0,1,
