RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
8,19,Tsvetan Sokolov,BUL,141,53,77,271,52.03
22,6,Rozalin Penchev,BUL,107,46,84,237,45.15
64,1,Georgi Bratoev,BUL,7,3,4,14,
65,2,Krasimir Georgiev,BUL,23,7,22,52,
66,4,Martin Atanasov,BUL,60,35,35,130,
67,5,Svetoslav Gotsev,BUL,51,12,38,101,
68,7,Nikolay Uchikov,BUL,84,28,71,183,
69,8,Todor Skrimov,BUL,65,16,43,124,
70,9,Georgi Seganov,BUL,10,2,9,21,
71,10,Valentin Bratoev,BUL,4,12,12,28,
72,11,Velizar Chernokozhev,BUL,11,7,16,34,
73,12,Viktor Yosifov,BUL,11,2,8,21,
74,14,Teodor Todorov,BUL,17,2,13,32,
75,17,Nikolay Penchev,BUL,41,19,42,102,
76,18,Nikolay Nikolov,BUL,7,1,7,15,
77,20,Aleks Grozdanov,BUL,36,4,12,52,
78,25,Radoslav Parapunov,BUL,3,1,1,5,
79,26,Plamen Shekerdzhiev,BUL,3,3,6,12,
80,30,Nikolay Kolev,BUL,1,0,0,1,
