RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
4,10,Sharone Vernon-Evans,CAN,130,32,82,244,53.28
11,7,Stephen Timothy Maar,CAN,136,47,94,277,49.10
81,2,John Gordon Perrin,CAN,74,31,79,184,
82,4,Nicholas Hoag,CAN,113,40,65,218,
83,5,Deanan Gyimah,CAN,9,0,2,11,
84,6,Justin Duff,CAN,2,1,0,3,
85,9,Jason Derocco,CAN,37,13,40,90,
86,11,Daniel Jansen Vandoorn,CAN,8,1,3,12,
87,12,Lucas Van Berkel,CAN,26,7,20,53,
88,14,Eric Loeppky,CAN,6,3,10,19,
89,16,Ryan Joseph Sclater,CAN,98,41,82,221,
90,17,Graham Vigrass,CAN,67,6,39,112,
91,20,Arthur Szwarc,CAN,38,11,19,68,
92,21,Brett James Walsh,CAN,7,0,4,11,
