RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
20,2,Chuan Jiang,CHN,152,56,127,335,45.37
21,1,Qingyao Dai,CHN,88,24,82,194,45.36
93,3,Tianyi Mao,CHN,1,0,3,4,
94,8,Jingyi Wang,CHN,32,14,31,77,
95,9,Yaochen Yu,CHN,4,0,1,5,
96,10,Daoshuai Ji,CHN,32,9,21,62,
97,11,Haixiang Du,CHN,46,17,47,110,
98,12,Zhejia Zhang,CHN,29,7,21,57,
99,13,Longhai Chen,CHN,41,12,20,73,
100,17,Libin Liu,CHN,69,47,64,180,
101,19,Guojun Zhan,CHN,2,1,3,6,
102,20,Shuhan Rao,CHN,44,11,49,104,
103,21,Ruantong Miao,CHN,5,0,3,8,
104,23,Shikun Peng,CHN,10,3,3,16,
