RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
12,4,Jean Patry,FRA,148,66,91,305,48.52
105,1,Jonas Aguenier,FRA,22,3,5,30,
106,5,Raphaël Corre,FRA,0,0,1,1,
107,6,Benjamin Toniutti,FRA,1,1,4,6,
108,7,Kevin Tillie,FRA,80,41,71,192,
109,8,Julien Lyneel,FRA,55,19,41,115,
110,9,Earvin Ngapeth,FRA,21,8,20,49,
111,10,Kevin Le Roux,FRA,27,4,19,50,
112,11,Antoine Brizard,FRA,11,2,12,25,
113,12,Stephen Boyer,FRA,101,50,87,238,
114,14,Nicolas Le Goff,FRA,53,6,27,86,
115,16,Daryl Bultor,FRA,32,6,12,50,
116,17,Trevor Clevenot,FRA,62,24,37,123,
117,18,Thibault Rossard,FRA,57,26,56,139,
118,19,Yacine Louati,FRA,44,22,48,114,
119,21,Barthélémy Chinenyeze,FRA,81,21,37,139,
120,23,Timothée Carle,FRA,42,20,19,81,
