RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
14,13,Simon Hirsch,GER,170,55,131,356,47.75
16,1,Christian Fromm,GER,133,40,108,281,47.33
121,2,Tobias Krick,GER,38,7,15,60,
122,3,Ruben Schott,GER,92,51,94,237,
123,5,Moritz Reichert,GER,81,30,92,203,
124,7,David Sossenheimer,GER,33,17,34,84,
125,8,Marcus Böhme,GER,40,13,11,64,
126,11,Lukas Kampa,GER,4,0,1,5,
127,12,Anton Brehme,GER,84,19,52,155,
128,15,Noah Baxpöhler,GER,44,9,21,74,
129,16,Tomas Kocian-Falkenbach,GER,1,0,3,4,
130,17,Jan Zimmermann,GER,3,2,2,7,
131,18,Jakob Günthör,GER,3,1,7,11,
132,19,Daniel Malescha,GER,26,14,15,55,
133,20,Linus Weber,GER,23,11,27,61,
