RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
2,10,Amir Ghafour,IRI,214,59,120,393,54.45
18,2,Milad Ebadipour Ghara H.,IRI,141,39,129,309,45.63
26,7,Purya Fayazi D.,IRI,119,38,117,274,43.43
134,4,Mir Saeid Marouflakrani,IRI,18,4,28,50,
135,5,Farhad Ghaemi,IRI,23,7,29,59,
136,6,Seyed Mohammad Mousavi Eraghi,IRI,94,27,33,154,
137,9,Masoud Gholami,IRI,9,1,4,14,
138,14,Mohammadjavad Manavinezhad,IRI,35,12,29,76,
139,15,Aliasghar Mojarad,IRI,26,6,17,49,
140,16,Ali Shafiei,IRI,81,13,51,145,
141,20,Porya Yali,IRI,51,23,35,109,
142,21,Morteza Sharifi,IRI,1,1,1,3,
143,24,Javad Karimisouchelmaei,IRI,3,1,0,4,
