RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
7,20,Gabriele Nelli,ITA,135,36,88,259,52.12
25,16,Oleg Antonov,ITA,113,55,86,254,44.49
144,1,Davide Candellaro,ITA,14,4,10,28,
145,2,Riccardo Sbertoli,ITA,3,1,5,9,
146,3,Luca Spirito,ITA,2,0,0,2,
147,6,Simone Giannelli,ITA,29,4,20,53,
148,7,Giacomo Raffaelli,ITA,8,4,5,17,
149,8,Daniele Mazzone,ITA,15,2,8,25,
150,12,Fabio Ricci,ITA,5,2,7,14,
151,14,Matteo Piano,ITA,19,3,10,32,
152,15,Roberto Russo,ITA,66,11,38,115,
153,17,Simone Anzani,ITA,29,3,12,44,
154,19,Daniele Lavia,ITA,98,38,89,225,
155,21,Alberto Polo,ITA,20,6,11,37,
156,22,Oreste Cavuto,ITA,75,29,82,186,
157,23,Andrea Argenta,ITA,10,4,5,19,
158,24,Giulio Pinali,ITA,98,37,77,212,
159,28,Francesco Recine,ITA,1,1,2,4,
