RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
5,14,Yuki Ishikawa,JPN,170,40,112,322,52.80
10,11,Yuji Nishida,JPN,183,69,114,366,50.00
160,1,Issei Otake,JPN,64,40,57,161,
161,2,Hideomi Fukatsu,JPN,0,0,1,1,
162,3,Naonobu Fujii,JPN,3,1,3,7,
163,5,Tatsuya Fukuzawa,JPN,91,21,78,190,
164,6,Akihiro Yamauchi,JPN,49,13,31,93,
165,8,Masahiro Yanagida,JPN,56,29,50,135,
166,12,Masahiro Sekita,JPN,5,2,6,13,
167,13,Naoya Takano,JPN,49,22,45,116,
168,15,Haku Ri,JPN,38,11,29,78,
169,17,Tsubasa Hisahara,JPN,10,3,14,27,
170,20,Taishi Onodera,JPN,65,11,48,124,
