RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
171,1,Piotr Nowakowski,POL,9,4,4,17,
172,2,Maciej Muzaj,POL,111,23,107,241,
173,3,Dawid Konarski,POL,73,21,49,143,
174,4,Marcin Komenda,POL,3,0,3,6,
175,5,Lukasz Kaczmarek,POL,91,39,67,197,
176,7,Artur Szalpuk,POL,38,15,30,83,
177,11,Fabian Drzyzga,POL,0,0,1,1,
178,13,Michal Kubiak,POL,12,11,17,40,
179,14,Aleksander Sliwka,POL,107,22,86,215,
180,15,Jakub Kochanowski,POL,56,15,38,109,
181,16,Bartlomiej Boladz,POL,20,8,15,43,
182,18,Bartosz Kwolek,POL,108,44,93,245,
183,19,Marcin Janusz,POL,2,1,0,3,
184,20,Mateusz Bieniek,POL,55,5,29,89,
185,21,Tomasz Fornal,POL,27,13,34,74,
186,22,Bartosz Bednorz,POL,117,39,95,251,
187,25,Michał Szalacha,POL,3,1,0,4,
188,27,Piotr Łukasik,POL,40,12,24,76,
189,28,Bartosz Filipiak,POL,8,3,9,20,
190,77,Karol Klos,POL,67,10,28,105,
191,99,Norbert Huber,POL,58,12,29,99,
