RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
19,7,Marco Evan Baptista Ferreira,POR,145,67,106,318,45.60
23,6,Alexandre Ferreira,POR,139,58,111,308,45.13
192,1,Valdir Sequeira,POR,14,8,7,29,
193,3,Nuno Teixeira,POR,10,3,14,27,
194,4,Filip Cveticanin,POR,69,16,37,122,
195,8,Tiago Da Silva Violas,POR,4,0,5,9,
196,9,Joao Simoes,POR,28,13,36,77,
197,10,Phelipe Martins,POR,29,13,33,75,
198,11,Bruno Cunha,POR,47,23,38,108,
199,12,Lourenco Martins,POR,70,23,64,157,
200,13,Caique Oswaldo Ferreira Da Silva,POR,53,19,36,108,
201,15,Miguel Tavares Rodrigues,POR,12,1,7,20,
