RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
6,15,Victor Poletaev,RUS,158,51,94,303,52.15
202,2,Ilia Vlasov,RUS,6,3,4,13,
203,3,Dmitry Kovalev,RUS,6,3,5,14,
204,4,Denis Zemchenok,RUS,71,18,58,147,
205,7,Dmitry Volkov,RUS,91,38,69,198,
206,8,Anton Semyshev,RUS,17,8,10,35,
207,9,Ivan Iakovlev,RUS,70,9,23,102,
208,10,Fedor Voronkov,RUS,64,31,43,138,
209,11,Igor Philippov,RUS,44,7,19,70,
210,14,Yaroslav Podlesnykh,RUS,69,31,34,134,
211,18,Egor Kliuka,RUS,111,41,82,234,
212,20,Ilyas Kurkaev,RUS,107,22,44,173,
213,24,Igor Kobzar,RUS,28,4,15,47,
214,28,Kirill Klets,RUS,5,1,4,10,
215,29,Kirill Ursov,RUS,6,0,7,13,
