RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
28,5,Lazar Cirovic,SRB,100,41,99,240,41.67
216,1,Aleksandar Okolic,SRB,57,7,28,92,
217,3,Milan Katic,SRB,39,17,43,99,
218,4,Nemanja Petric,SRB,22,5,21,48,
219,7,Petar Krsmanovic,SRB,73,8,32,113,
220,8,Marko Ivovic,SRB,19,5,15,39,
221,9,Nikola Jovovic,SRB,1,0,6,7,
222,10,Miran Kujundžić,SRB,73,18,54,145,
223,12,Dusan Petkovic,SRB,103,35,79,217,
224,13,Stevan Simic,SRB,38,8,13,59,
225,15,Nemanja Masulovic,SRB,6,0,3,9,
226,16,Drazen Luburic,SRB,74,26,44,144,
227,20,Srecko Lisinac,SRB,35,8,13,56,
228,21,Vuk Todorovic,SRB,2,0,6,8,
229,22,Andrija Vilimanovic,SRB,2,0,2,4,
230,23,Bozidar Vucicevic,SRB,94,50,50,194,
231,24,David Mehic,SRB,24,16,20,60,
232,27,Stefan Kovacevic,SRB,3,0,4,7,
233,28,Danilo Pavlovic,SRB,0,0,1,1,
