RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
27,18,Garrett Muagututia,USA,119,49,108,276,43.12
234,1,Matthew Anderson,USA,68,25,40,133,
235,2,Aaron Russell,USA,17,8,15,40,
236,3,Taylor Sander,USA,122,30,70,222,
237,4,Jeffrey Jendryk Ii,USA,49,8,25,82,
238,5,Kyle Ensing,USA,35,12,36,83,
239,6,Mitchell Stahl,USA,25,6,23,54,
240,7,Kawika Shoji,USA,5,1,3,9,
241,8,Torey Defalco,USA,76,31,53,160,
242,9,Jake Langlois,USA,19,2,19,40,
243,11,Micah Christenson,USA,8,6,7,21,
244,12,Maxwell Holt,USA,42,12,32,86,
245,13,Benjamin Patch,USA,141,42,73,256,
246,14,Micah Ma'a,USA,27,11,24,62,
247,16,Joshua Tuaniga,USA,3,1,3,7,
248,17,Thomas Jaeschke,USA,26,10,18,54,
249,19,Taylor Averill,USA,18,4,7,29,
250,20,David Smith,USA,68,11,41,120,
251,25,Kyle Russell,USA,27,14,25,66,
252,30,George Huhmann,USA,20,4,7,31,
