TEAM,STUFF_BLOCKS,FAULTS,REBOUNDS,TOTAL_ATTEMPTS
CAN, 0.167247, 0.414634, 0.418118, 861.000000 
IRI, 0.166292, 0.434831, 0.398876, 890.000000 
RUS, 0.206107, 0.437296, 0.356598, 917.000000 
BUL, 0.165782, 0.472149, 0.362069, 754.000000 
POR, 0.147321, 0.453869, 0.398810, 672.000000 
ARG, 0.138090, 0.414269, 0.447641, 869.000000 
USA, 0.173745, 0.419884, 0.406371, 1036.000000 
BRA, 0.153846, 0.436222, 0.409932, 1027.000000 
ITA, 0.167920, 0.422306, 0.409774, 798.000000 
CHN, 0.192434, 0.463816, 0.343750, 608.000000 
POL, 0.206072, 0.424103, 0.369825, 1087.000000 
GER, 0.122940, 0.468948, 0.408112, 789.000000 
SRB, 0.163613, 0.462042, 0.374346, 764.000000 
FRA, 0.170496, 0.417170, 0.412334, 827.000000 
JPN, 0.118715, 0.483240, 0.398045, 716.000000 
AUS, 0.159652, 0.445573, 0.394775, 689.000000 
