RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
41,1,Beau Graham,AUS,15,46,45,106,0.26
42,8,Trent O'dea,AUS,15,38,43,96,0.26
54,2,Arshdeep Dosanjh,AUS,13,44,25,82,0.23
75,15,Luke Smith,AUS,11,36,27,74,0.19
76,23,James Weir,AUS,11,27,28,66,0.19
84,18,Lincoln Alexander Williams,AUS,10,35,28,73,0.18
102,10,Jordan Richards,AUS,8,11,8,27,0.14
115,12,Nehemiah Mote,AUS,7,15,12,34,0.12
116,22,Curtis Jeffrey Arthur Stockton,AUS,7,13,15,35,0.12
144,9,Max Staples,AUS,5,12,13,30,0.09
145,13,Samuel Walker,AUS,5,21,13,39,0.09
197,7,Harrison Peacock,AUS,2,6,9,17,0.04
213,24,Elliott Viles,AUS,1,2,5,8,0.02
233,21,Nicholas Butler,AUS,0,1,0,1,
234,25,Jordan Colotti,AUS,0,0,1,1,
