RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
9,23,Flavio Gualberto,BRA,31,75,59,165,0.40
33,9,Yoandy Leal Hidalgo,BRA,22,43,35,100,0.29
52,16,Lucas Saatkamp,BRA,18,63,61,142,0.23
80,13,Mauricio Luiz De Souza,BRA,14,37,51,102,0.18
81,18,Ricardo Lucarelli Souza,BRA,14,41,27,82,0.18
88,6,Fernando Gil Kreling,BRA,13,38,40,91,0.17
97,2,Isac Santos,BRA,12,33,44,89,0.16
122,8,Wallace De Souza,BRA,9,39,31,79,0.12
127,14,Douglas Correia De Souza,BRA,8,18,17,43,0.10
140,1,Bruno Mossa Rezende,BRA,7,24,28,59,0.09
141,21,Alan Souza,BRA,7,29,23,59,0.09
209,20,Thiago Pontes Veloso,BRA,2,2,0,4,0.03
231,19,Mauricio Borges Almeida Silva,BRA,1,5,3,9,0.01
235,3,Eder Carbonera,BRA,0,0,1,1,
236,5,Lucas Eduardo Loh,BRA,0,1,1,2,
