RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
4,5,Svetoslav Gotsev,BUL,28,55,48,131,0.47
32,2,Krasimir Georgiev,BUL,17,40,34,91,0.29
78,14,Teodor Todorov,BUL,11,26,10,47,0.19
87,19,Tsvetan Sokolov,BUL,10,24,17,51,0.17
100,20,Aleks Grozdanov,BUL,9,31,29,69,0.15
105,9,Georgi Seganov,BUL,8,33,27,68,0.14
119,6,Rozalin Penchev,BUL,7,27,15,49,0.12
120,17,Nikolay Penchev,BUL,7,18,17,42,0.12
130,7,Nikolay Uchikov,BUL,6,12,17,35,0.10
131,8,Todor Skrimov,BUL,6,21,7,34,0.10
147,4,Martin Atanasov,BUL,5,22,13,40,0.08
158,12,Viktor Yosifov,BUL,4,13,8,25,0.07
175,18,Nikolay Nikolov,BUL,3,11,8,22,0.05
216,1,Georgi Bratoev,BUL,1,10,10,21,0.02
217,10,Valentin Bratoev,BUL,1,3,3,7,0.02
218,11,Velizar Chernokozhev,BUL,1,8,9,18,0.02
219,26,Plamen Shekerdzhiev,BUL,1,2,1,4,0.02
