RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
11,2,Chuan Jiang,CHN,19,41,33,93,0.37
16,1,Qingyao Dai,CHN,18,34,19,71,0.35
20,20,Shuhan Rao,CHN,17,54,43,114,0.33
35,12,Zhejia Zhang,CHN,14,25,21,60,0.27
43,13,Longhai Chen,CHN,13,27,28,68,0.25
44,17,Libin Liu,CHN,13,10,11,34,0.25
135,19,Guojun Zhan,CHN,5,13,16,34,0.10
149,9,Yaochen Yu,CHN,4,22,9,35,0.08
168,21,Ruantong Miao,CHN,3,8,0,11,0.06
169,23,Shikun Peng,CHN,3,10,5,18,0.06
189,3,Tianyi Mao,CHN,2,5,9,16,0.04
190,8,Jingyi Wang,CHN,2,9,5,16,0.04
191,10,Daoshuai Ji,CHN,2,6,4,12,0.04
192,11,Haixiang Du,CHN,2,18,6,26,0.04
