RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
25,21,Barthélémy Chinenyeze,FRA,20,71,50,141,0.32
27,10,Kevin Le Roux,FRA,19,15,20,54,0.30
38,14,Nicolas Le Goff,FRA,17,24,32,73,0.27
55,11,Antoine Brizard,FRA,14,27,30,71,0.22
66,4,Jean Patry,FRA,13,27,30,70,0.21
85,7,Kevin Tillie,FRA,11,31,22,64,0.17
94,17,Trevor Clevenot,FRA,10,11,11,32,0.16
108,12,Stephen Boyer,FRA,8,18,18,44,0.13
125,1,Jonas Aguenier,FRA,7,18,18,43,0.11
126,8,Julien Lyneel,FRA,7,14,12,33,0.11
160,18,Thibault Rossard,FRA,4,18,14,36,0.06
179,19,Yacine Louati,FRA,3,15,6,24,0.05
204,5,Raphaël Corre,FRA,2,8,16,26,0.03
205,9,Earvin Ngapeth,FRA,2,4,3,9,0.03
206,16,Daryl Bultor,FRA,2,24,27,53,0.03
223,6,Benjamin Toniutti,FRA,1,11,23,35,0.02
224,23,Timothée Carle,FRA,1,9,9,19,0.02
