RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
21,13,Simon Hirsch,GER,21,41,28,90,0.33
26,12,Anton Brehme,GER,20,67,64,151,0.31
69,15,Noah Baxpöhler,GER,13,45,30,88,0.20
86,8,Marcus Böhme,GER,11,29,27,67,0.17
95,3,Ruben Schott,GER,10,30,28,68,0.16
150,17,Jan Zimmermann,GER,5,25,32,62,0.08
163,2,Tobias Krick,GER,4,35,39,78,0.06
164,20,Linus Weber,GER,4,10,4,18,0.06
180,5,Moritz Reichert,GER,3,25,22,50,0.05
207,1,Christian Fromm,GER,2,28,22,52,0.03
208,7,David Sossenheimer,GER,2,9,11,22,0.03
225,11,Lukas Kampa,GER,1,4,6,11,0.02
226,18,Jakob Günthör,GER,1,5,4,10,0.02
240,16,Tomas Kocian-Falkenbach,GER,0,4,1,5,
241,19,Daniel Malescha,GER,0,13,4,17,
