RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
10,16,Oleg Antonov,ITA,22,36,37,95,0.39
46,6,Simone Giannelli,ITA,14,40,32,86,0.25
47,22,Oreste Cavuto,ITA,14,39,29,82,0.25
53,17,Simone Anzani,ITA,13,22,19,54,0.23
60,14,Matteo Piano,ITA,12,11,17,40,0.21
72,15,Roberto Russo,ITA,11,58,57,126,0.20
73,20,Gabriele Nelli,ITA,11,14,26,51,0.20
101,24,Giulio Pinali,ITA,8,15,23,46,0.14
111,2,Riccardo Sbertoli,ITA,7,13,16,36,0.13
112,19,Daniele Lavia,ITA,7,33,20,60,0.13
142,21,Alberto Polo,ITA,5,15,25,45,0.09
155,1,Davide Candellaro,ITA,4,11,8,23,0.07
172,8,Daniele Mazzone,ITA,3,15,9,27,0.05
196,7,Giacomo Raffaelli,ITA,2,2,2,6,0.04
212,12,Fabio Ricci,ITA,1,9,3,13,0.02
243,3,Luca Spirito,ITA,0,1,2,3,
244,23,Andrea Argenta,ITA,0,3,2,5,
