RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
37,20,Taishi Onodera,JPN,16,56,59,131,0.27
58,11,Yuji Nishida,JPN,13,34,23,70,0.22
67,6,Akihiro Yamauchi,JPN,12,42,43,97,0.20
68,14,Yuki Ishikawa,JPN,12,47,25,84,0.20
79,15,Haku Ri,JPN,11,43,35,89,0.19
132,5,Tatsuya Fukuzawa,JPN,6,23,11,40,0.10
133,13,Naoya Takano,JPN,6,18,14,38,0.10
176,12,Masahiro Sekita,JPN,3,31,22,56,0.05
201,1,Issei Otake,JPN,2,23,29,54,0.03
202,3,Naonobu Fujii,JPN,2,10,8,20,0.03
220,8,Masahiro Yanagida,JPN,1,15,7,23,0.02
221,17,Tsubasa Hisahara,JPN,1,1,2,4,0.02
245,2,Hideomi Fukatsu,JPN,0,3,6,9,
246,7,Takashi Dekita,JPN,0,0,1,1,
