RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
12,77,Karol Klos,POL,29,74,52,155,0.37
15,99,Norbert Huber,POL,28,47,42,117,0.35
39,2,Maciej Muzaj,POL,21,28,33,82,0.27
70,15,Jakub Kochanowski,POL,16,45,46,107,0.20
71,22,Bartosz Bednorz,POL,16,34,20,70,0.20
83,20,Mateusz Bieniek,POL,14,46,31,91,0.18
91,5,Lukasz Kaczmarek,POL,13,16,15,44,0.16
92,18,Bartosz Kwolek,POL,13,26,28,67,0.16
103,21,Tomasz Fornal,POL,11,9,9,29,0.14
109,4,Marcin Komenda,POL,10,17,19,46,0.13
110,27,Piotr Łukasik,POL,10,20,5,35,0.13
134,3,Dawid Konarski,POL,8,11,7,26,0.10
143,1,Piotr Nowakowski,POL,7,7,13,27,0.09
161,7,Artur Szalpuk,POL,5,7,7,19,0.06
162,14,Aleksander Sliwka,POL,5,19,26,50,0.06
177,11,Fabian Drzyzga,POL,4,12,17,33,0.05
193,13,Michal Kubiak,POL,3,3,4,10,0.04
194,19,Marcin Janusz,POL,3,10,7,20,0.04
195,28,Bartosz Filipiak,POL,3,4,4,11,0.04
210,12,Grzegorz Lomacz,POL,2,12,5,19,0.03
211,16,Bartlomiej Boladz,POL,2,12,9,23,0.03
232,25,Michał Szalacha,POL,1,2,3,6,0.01
