RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
6,4,Filip Cveticanin,POR,24,55,50,129,0.46
13,6,Alexandre Ferreira,POR,19,36,30,85,0.37
61,12,Lourenco Martins,POR,11,29,24,64,0.21
99,10,Phelipe Martins,POR,8,50,39,97,0.15
106,7,Marco Evan Baptista Ferreira,POR,7,42,33,82,0.13
107,13,Caique Oswaldo Ferreira Da Silva,POR,7,17,8,32,0.13
123,11,Bruno Cunha,POR,6,10,15,31,0.12
138,9,Joao Simoes,POR,5,5,9,19,0.10
152,3,Nuno Teixeira,POR,4,21,16,41,0.08
153,8,Tiago Da Silva Violas,POR,4,20,19,43,0.08
154,15,Miguel Tavares Rodrigues,POR,4,14,23,41,0.08
247,1,Valdir Sequeira,POR,0,6,2,8,
