RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
8,12,Maxwell Holt,USA,30,41,45,116,0.42
17,20,David Smith,USA,25,54,63,142,0.35
51,4,Jeffrey Jendryk Ii,USA,17,34,29,80,0.24
56,11,Micah Christenson,USA,16,36,35,87,0.22
82,18,Garrett Muagututia,USA,13,44,24,81,0.18
89,3,Taylor Sander,USA,12,26,25,63,0.17
90,6,Mitchell Stahl,USA,12,25,27,64,0.17
113,8,Torey Defalco,USA,9,25,18,52,0.13
114,13,Benjamin Patch,USA,9,28,26,63,0.13
136,5,Kyle Ensing,USA,7,10,15,32,0.10
137,14,Micah Ma'a,USA,7,26,30,63,0.10
148,9,Jake Langlois,USA,6,8,8,22,0.08
171,25,Kyle Russell,USA,4,14,16,34,0.06
185,1,Matthew Anderson,USA,3,15,15,33,0.04
186,2,Aaron Russell,USA,3,3,1,7,0.04
187,19,Taylor Averill,USA,3,13,8,24,0.04
188,30,George Huhmann,USA,3,11,13,27,0.04
230,7,Kawika Shoji,USA,1,10,8,19,0.01
254,16,Joshua Tuaniga,USA,0,8,9,17,
255,17,Thomas Jaeschke,USA,0,4,6,10,
