RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
1,9,Santiago Danani,ARG,143,57,45,245,2.42
20,7,Facundo Conte,ARG,64,15,36,115,1.08
34,12,Bruno Lima,ARG,52,24,22,98,0.88
58,5,Nicolas Uriarte,ARG,37,10,16,63,0.63
67,13,Ezequiel Palacios,ARG,35,22,23,80,0.59
68,15,Luciano De Cecco,ARG,35,5,15,55,0.59
90,3,Jan Martinez Franchi,ARG,28,4,10,42,0.47
91,6,Cristian Poglajen,ARG,28,12,19,59,0.47
123,11,Sebastian Solé,ARG,21,9,21,51,0.36
137,17,Nicolas Mendez,ARG,18,5,14,37,0.31
150,2,Federico Pereyra,ARG,15,7,9,31,0.25
174,4,Maximiliano Cavanna,ARG,13,9,4,26,0.22
175,18,Martin Ramos,ARG,13,7,12,32,0.22
202,8,Agustin Loser,ARG,9,10,9,28,0.15
203,14,Pablo Crer,ARG,9,3,6,18,0.15
