RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
3,11,Luke Perry,AUS,122,46,44,212,2.14
29,15,Luke Smith,AUS,53,14,24,91,0.93
43,2,Arshdeep Dosanjh,AUS,44,26,27,97,0.77
62,18,Lincoln Alexander Williams,AUS,35,16,15,66,0.61
82,13,Samuel Walker,AUS,29,15,24,68,0.51
133,9,Max Staples,AUS,18,4,14,36,0.32
144,10,Jordan Richards,AUS,16,9,14,39,0.28
148,8,Trent O'dea,AUS,15,11,21,47,0.26
186,7,Harrison Peacock,AUS,11,11,9,31,0.19
201,22,Curtis Jeffrey Arthur Stockton,AUS,9,9,8,26,0.16
209,1,Beau Graham,AUS,8,10,9,27,0.14
210,23,James Weir,AUS,8,8,9,25,0.14
217,24,Elliott Viles,AUS,7,5,1,13,0.12
238,12,Nehemiah Mote,AUS,5,3,2,10,0.09
283,21,Nicholas Butler,AUS,0,1,0,1,
