RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
46,6,Rozalin Penchev,BUL,45,15,29,89,0.76
54,21,Petar Karakashev,BUL,40,24,14,78,0.68
63,9,Georgi Seganov,BUL,36,24,24,84,0.61
80,19,Tsvetan Sokolov,BUL,31,15,17,63,0.53
111,17,Nikolay Penchev,BUL,23,8,10,41,0.39
115,7,Nikolay Uchikov,BUL,22,13,14,49,0.37
116,8,Todor Skrimov,BUL,22,11,8,41,0.37
131,5,Svetoslav Gotsev,BUL,19,9,22,50,0.32
132,16,Vladislav Ivanov,BUL,19,9,14,42,0.32
138,4,Martin Atanasov,BUL,18,6,14,38,0.31
151,13,Teodor Salparov,BUL,15,4,7,26,0.25
152,23,Martin Ivanov,BUL,15,4,5,24,0.25
160,1,Georgi Bratoev,BUL,14,10,10,34,0.24
204,20,Aleks Grozdanov,BUL,9,1,8,18,0.15
229,2,Krasimir Georgiev,BUL,6,1,11,18,0.10
230,11,Velizar Chernokozhev,BUL,6,2,4,12,0.10
231,14,Teodor Todorov,BUL,6,2,0,8,0.10
240,10,Valentin Bratoev,BUL,5,2,3,10,0.08
241,12,Viktor Yosifov,BUL,5,2,4,11,0.08
266,18,Nikolay Nikolov,BUL,2,2,4,8,0.03
267,26,Plamen Shekerdzhiev,BUL,2,1,3,6,0.03
286,25,Radoslav Parapunov,BUL,0,0,2,2,
287,30,Nikolay Kolev,BUL,0,1,0,1,
