RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
18,16,Jiahua Tong,CHN,57,27,22,106,1.12
50,11,Haixiang Du,CHN,36,10,23,69,0.71
51,17,Libin Liu,CHN,36,25,20,81,0.71
71,9,Yaochen Yu,CHN,29,34,20,83,0.57
87,2,Chuan Jiang,CHN,25,24,19,68,0.49
118,13,Longhai Chen,CHN,19,8,10,37,0.37
125,1,Qingyao Dai,CHN,18,24,19,61,0.35
126,20,Shuhan Rao,CHN,18,13,14,45,0.35
127,27,Xiaoteng Ma,CHN,18,13,20,51,0.35
149,19,Guojun Zhan,CHN,13,13,7,33,0.25
176,3,Tianyi Mao,CHN,11,7,7,25,0.22
184,10,Daoshuai Ji,CHN,10,11,7,28,0.20
218,8,Jingyi Wang,CHN,6,10,10,26,0.12
219,25,Jiajie Chen,CHN,6,3,5,14,0.12
232,12,Zhejia Zhang,CHN,5,3,3,11,0.10
261,21,Ruantong Miao,CHN,2,1,2,5,0.04
273,23,Shikun Peng,CHN,1,3,1,5,0.02
