RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
5,2,Jenia Grebennikov,FRA,118,27,39,184,1.87
24,7,Kevin Tillie,FRA,64,15,15,94,1.02
52,20,Nicolas Rossard,FRA,44,21,32,97,0.70
60,11,Antoine Brizard,FRA,39,23,34,96,0.62
61,12,Stephen Boyer,FRA,39,10,18,67,0.62
73,4,Jean Patry,FRA,35,21,23,79,0.56
89,6,Benjamin Toniutti,FRA,30,11,12,53,0.48
95,18,Thibault Rossard,FRA,28,9,18,55,0.44
104,8,Julien Lyneel,FRA,26,4,10,40,0.41
108,17,Trevor Clevenot,FRA,25,11,19,55,0.40
109,19,Yacine Louati,FRA,25,7,14,46,0.40
159,21,Barthélémy Chinenyeze,FRA,15,7,20,42,0.24
188,10,Kevin Le Roux,FRA,12,3,10,25,0.19
208,5,Raphaël Corre,FRA,9,5,8,22,0.14
221,14,Nicolas Le Goff,FRA,7,4,6,17,0.11
222,16,Daryl Bultor,FRA,7,2,3,12,0.11
223,23,Timothée Carle,FRA,7,5,11,23,0.11
234,1,Jonas Aguenier,FRA,6,2,6,14,0.10
235,9,Earvin Ngapeth,FRA,6,3,5,14,0.10
