RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
4,10,Julian Zenger,GER,126,41,61,228,1.97
25,3,Ruben Schott,GER,63,16,29,108,0.98
30,17,Jan Zimmermann,GER,59,40,25,124,0.92
59,1,Christian Fromm,GER,40,21,31,92,0.63
66,5,Moritz Reichert,GER,38,19,27,84,0.59
81,13,Simon Hirsch,GER,33,19,14,66,0.52
166,7,David Sossenheimer,GER,15,7,11,33,0.23
167,16,Tomas Kocian-Falkenbach,GER,15,8,6,29,0.23
182,12,Anton Brehme,GER,13,3,18,34,0.20
194,2,Tobias Krick,GER,11,1,14,26,0.17
213,8,Marcus Böhme,GER,8,1,6,15,0.13
214,11,Lukas Kampa,GER,8,2,5,15,0.13
250,19,Daniel Malescha,GER,4,5,1,10,0.06
256,15,Noah Baxpöhler,GER,3,6,9,18,0.05
257,18,Jakob Günthör,GER,3,0,2,5,0.05
269,20,Linus Weber,GER,2,1,5,8,0.03
289,25,Lukas Maase,GER,0,1,0,1,
