RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
6,8,Mohammadreza Hazratpourtalatappeh,IRI,105,32,42,179,1.69
9,4,Mir Saeid Marouflakrani,IRI,86,37,47,170,1.39
12,2,Milad Ebadipour Ghara H.,IRI,78,25,40,143,1.26
17,10,Amir Ghafour,IRI,70,24,29,123,1.13
21,7,Purya Fayazi D.,IRI,66,16,33,115,1.06
107,6,Seyed Mohammad Mousavi Eraghi,IRI,25,6,16,47,0.40
119,16,Ali Shafiei,IRI,23,7,21,51,0.37
140,20,Porya Yali,IRI,18,8,11,37,0.29
156,15,Aliasghar Mojarad,IRI,15,6,4,25,0.24
177,5,Farhad Ghaemi,IRI,13,2,10,25,0.21
178,14,Mohammadjavad Manavinezhad,IRI,13,3,4,20,0.21
206,19,Mohammadreza Moazzen,IRI,9,2,6,17,0.15
243,24,Javad Karimisouchelmaei,IRI,5,1,1,7,0.08
268,9,Masoud Gholami,IRI,2,1,5,8,0.03
279,21,Morteza Sharifi,IRI,1,0,0,1,0.02
