RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
41,23,Jakub Popiwczak,POL,62,29,23,114,0.78
49,18,Bartosz Kwolek,POL,57,25,44,126,0.72
53,10,Damian Wojtaszek,POL,55,27,24,106,0.70
84,4,Marcin Komenda,POL,40,25,16,81,0.51
85,14,Aleksander Sliwka,POL,40,18,17,75,0.51
101,22,Bartosz Bednorz,POL,34,23,19,76,0.43
120,2,Maciej Muzaj,POL,29,17,9,55,0.37
121,5,Lukasz Kaczmarek,POL,29,13,16,58,0.37
124,3,Dawid Konarski,POL,28,11,14,53,0.35
130,17,Pawel Zatorski,POL,26,14,12,52,0.33
139,19,Marcin Janusz,POL,24,14,9,47,0.30
145,12,Grzegorz Lomacz,POL,22,6,15,43,0.28
153,21,Tomasz Fornal,POL,20,8,16,44,0.25
157,27,Piotr Łukasik,POL,19,7,8,34,0.24
158,99,Norbert Huber,POL,19,5,11,35,0.24
193,77,Karol Klos,POL,14,6,10,30,0.18
200,15,Jakub Kochanowski,POL,13,1,13,27,0.16
211,13,Michal Kubiak,POL,11,4,10,25,0.14
212,11,Fabian Drzyzga,POL,10,17,10,37,0.13
245,7,Artur Szalpuk,POL,6,14,7,27,0.08
246,20,Mateusz Bieniek,POL,6,5,9,20,0.08
255,8,Jedrzej Gruszczynski,POL,4,2,5,11,0.05
263,16,Bartlomiej Boladz,POL,3,6,4,13,0.04
264,28,Bartosz Filipiak,POL,3,2,0,5,0.04
281,1,Piotr Nowakowski,POL,1,2,8,11,0.01
282,25,Michał Szalacha,POL,1,0,0,1,0.01
