RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
11,5,Gil Pereira,POR,68,37,27,132,1.31
23,6,Alexandre Ferreira,POR,53,15,29,97,1.02
38,15,Miguel Tavares Rodrigues,POR,43,19,28,90,0.83
47,7,Marco Evan Baptista Ferreira,POR,39,28,21,88,0.75
76,8,Tiago Da Silva Violas,POR,28,19,14,61,0.54
106,12,Lourenco Martins,POR,21,17,16,54,0.40
136,17,Joao Fidalgo,POR,16,18,15,49,0.31
141,13,Caique Oswaldo Ferreira Da Silva,POR,15,12,10,37,0.29
170,4,Filip Cveticanin,POR,12,6,18,36,0.23
171,9,Joao Simoes,POR,12,7,12,31,0.23
172,10,Phelipe Martins,POR,12,2,14,28,0.23
187,11,Bruno Cunha,POR,10,10,4,24,0.19
251,3,Nuno Teixeira,POR,3,2,4,9,0.06
262,1,Valdir Sequeira,POR,2,3,1,6,0.04
