RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL ATTEMPTS,AVERAGE PER SET
7,27,Valentin Golubev,RUS,114,47,28,189,1.68
45,24,Igor Kobzar,RUS,52,14,24,90,0.76
48,18,Egor Kliuka,RUS,51,10,28,89,0.75
55,15,Victor Poletaev,RUS,45,14,13,72,0.66
69,7,Dmitry Volkov,RUS,40,13,15,68,0.59
98,3,Dmitry Kovalev,RUS,30,12,9,51,0.44
105,10,Fedor Voronkov,RUS,28,12,10,50,0.41
135,14,Yaroslav Podlesnykh,RUS,21,10,5,36,0.31
147,4,Denis Zemchenok,RUS,18,14,11,43,0.26
173,20,Ilyas Kurkaev,RUS,15,6,13,34,0.22
180,22,Roman Martynyuk,RUS,14,15,9,38,0.21
205,11,Igor Philippov,RUS,10,6,9,25,0.15
220,9,Ivan Iakovlev,RUS,8,6,7,21,0.12
228,8,Anton Semyshev,RUS,7,4,2,13,0.10
258,29,Kirill Ursov,RUS,3,1,1,5,0.04
290,2,Ilia Vlasov,RUS,0,2,0,2,
291,28,Kirill Klets,RUS,0,0,1,1,
