TEAM,EXCELLENTS,FAULTS,SERVE_RECEPTIONS,TOTAL_ATTEMPTS
BRA, 0.175234, 0.073988, 0.750779, 1284.000000 
POR, 0.218200, 0.075342, 0.706458, 1022.000000 
ARG, 0.200922, 0.055300, 0.743779, 1085.000000 
USA, 0.193798, 0.055039, 0.751163, 1290.000000 
GER, 0.189167, 0.063333, 0.747500, 1200.000000 
AUS, 0.191818, 0.082727, 0.725455, 1100.000000 
JPN, 0.207875, 0.064103, 0.728022, 1092.000000 
IRI, 0.170290, 0.056159, 0.773551, 1104.000000 
SRB, 0.177546, 0.079199, 0.743255, 1149.000000 
BUL, 0.182894, 0.074613, 0.742493, 1099.000000 
CHN, 0.187065, 0.087562, 0.725373, 1005.000000 
ITA, 0.156069, 0.066474, 0.777457, 1038.000000 
RUS, 0.174790, 0.066387, 0.758824, 1190.000000 
POL, 0.183602, 0.063069, 0.753329, 1427.000000 
CAN, 0.166355, 0.075701, 0.757944, 1070.000000 
FRA, 0.184764, 0.050788, 0.764448, 1142.000000 
