RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
3,9,Santiago Danani,ARG,89,23,229,341,19.35
25,7,Facundo Conte,ARG,38,16,202,256,8.59
31,2,Federico Pereyra,ARG,0,0,2,2,
32,3,Jan Martinez Franchi,ARG,15,2,48,65,
33,5,Nicolas Uriarte,ARG,0,0,1,1,
34,6,Cristian Poglajen,ARG,24,9,131,164,
35,8,Agustin Loser,ARG,2,0,2,4,
36,11,Sebastian Solé,ARG,3,0,8,11,
37,13,Ezequiel Palacios,ARG,24,7,122,153,
38,14,Pablo Crer,ARG,0,0,2,2,
39,15,Luciano De Cecco,ARG,0,0,1,1,
40,17,Nicolas Mendez,ARG,21,3,54,78,
41,18,Martin Ramos,ARG,2,0,5,7,
