RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
7,11,Luke Perry,AUS,59,22,148,229,16.16
16,13,Samuel Walker,AUS,45,13,208,266,12.03
18,15,Luke Smith,AUS,51,21,184,256,11.72
42,1,Beau Graham,AUS,4,0,8,12,
43,2,Arshdeep Dosanjh,AUS,0,1,4,5,
44,8,Trent O'dea,AUS,0,1,5,6,
45,9,Max Staples,AUS,20,13,84,117,
46,10,Jordan Richards,AUS,18,14,109,141,
47,12,Nehemiah Mote,AUS,3,0,7,10,
48,18,Lincoln Alexander Williams,AUS,0,1,1,2,
49,23,James Weir,AUS,1,0,0,1,
50,24,Elliott Viles,AUS,10,5,40,55,
