RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
14,6,Rozalin Penchev,BUL,55,17,220,292,13.01
22,4,Martin Atanasov,BUL,42,18,167,227,10.57
63,1,Georgi Bratoev,BUL,0,1,0,1,
64,2,Krasimir Georgiev,BUL,0,1,1,2,
65,5,Svetoslav Gotsev,BUL,1,0,2,3,
66,8,Todor Skrimov,BUL,19,10,97,126,
67,9,Georgi Seganov,BUL,0,2,3,5,
68,10,Valentin Bratoev,BUL,0,0,10,10,
69,12,Viktor Yosifov,BUL,0,1,1,2,
70,13,Teodor Salparov,BUL,7,3,22,32,
71,14,Teodor Todorov,BUL,0,0,2,2,
72,16,Vladislav Ivanov,BUL,14,7,56,77,
73,17,Nikolay Penchev,BUL,32,3,79,114,
74,18,Nikolay Nikolov,BUL,0,0,3,3,
75,19,Tsvetan Sokolov,BUL,0,0,1,1,
76,20,Aleks Grozdanov,BUL,0,0,4,4,
77,21,Petar Karakashev,BUL,21,12,96,129,
78,23,Martin Ivanov,BUL,5,3,38,46,
79,26,Plamen Shekerdzhiev,BUL,5,4,14,23,
