RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
26,7,Stephen Timothy Maar,CAN,35,15,205,255,7.84
27,4,Nicholas Hoag,CAN,37,22,173,232,6.47
80,2,John Gordon Perrin,CAN,26,15,118,159,
81,3,Steven Marshall,CAN,24,11,91,126,
82,9,Jason Derocco,CAN,16,5,72,93,
83,10,Sharone Vernon-Evans,CAN,0,0,3,3,
84,11,Daniel Jansen Vandoorn,CAN,0,0,2,2,
85,12,Lucas Van Berkel,CAN,4,2,7,13,
86,14,Eric Loeppky,CAN,1,0,24,25,
87,16,Ryan Joseph Sclater,CAN,0,0,4,4,
88,17,Graham Vigrass,CAN,2,3,2,7,
89,19,Blair Cameron Bann,CAN,33,5,100,138,
90,20,Arthur Szwarc,CAN,0,1,7,8,
91,21,Brett James Walsh,CAN,0,2,3,5,
