RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
15,17,Libin Liu,CHN,47,15,198,260,12.31
92,1,Qingyao Dai,CHN,34,30,131,195,
93,2,Chuan Jiang,CHN,0,0,2,2,
94,8,Jingyi Wang,CHN,1,0,1,2,
95,9,Yaochen Yu,CHN,0,2,1,3,
96,10,Daoshuai Ji,CHN,15,9,51,75,
97,11,Haixiang Du,CHN,28,9,138,175,
98,12,Zhejia Zhang,CHN,0,0,1,1,
99,13,Longhai Chen,CHN,0,0,9,9,
100,16,Jiahua Tong,CHN,48,10,114,172,
101,20,Shuhan Rao,CHN,0,3,3,6,
102,25,Jiajie Chen,CHN,4,3,20,27,
103,27,Xiaoteng Ma,CHN,11,7,60,78,
