RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
104,1,Jonas Aguenier,FRA,0,0,5,5,
105,2,Jenia Grebennikov,FRA,36,4,117,157,
106,7,Kevin Tillie,FRA,44,13,120,177,
107,8,Julien Lyneel,FRA,27,6,110,143,
108,9,Earvin Ngapeth,FRA,3,2,41,46,
109,10,Kevin Le Roux,FRA,1,3,5,9,
110,12,Stephen Boyer,FRA,0,0,1,1,
111,14,Nicolas Le Goff,FRA,0,0,2,2,
112,17,Trevor Clevenot,FRA,21,6,103,130,
113,18,Thibault Rossard,FRA,26,7,127,160,
114,19,Yacine Louati,FRA,26,5,123,154,
115,20,Nicolas Rossard,FRA,25,7,85,117,
116,21,Barthélémy Chinenyeze,FRA,1,0,4,5,
117,23,Timothée Carle,FRA,1,5,30,36,
