RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
9,7,Purya Fayazi D.,IRI,53,10,228,291,14.78
12,8,Mohammadreza Hazratpourtalatappeh,IRI,56,17,222,295,13.22
24,2,Milad Ebadipour Ghara H.,IRI,51,19,255,325,9.85
127,4,Mir Saeid Marouflakrani,IRI,0,3,7,10,
128,5,Farhad Ghaemi,IRI,9,5,62,76,
129,6,Seyed Mohammad Mousavi Eraghi,IRI,1,0,4,5,
130,10,Amir Ghafour,IRI,0,0,1,1,
131,14,Mohammadjavad Manavinezhad,IRI,14,7,63,84,
132,16,Ali Shafiei,IRI,0,1,4,5,
133,19,Mohammadreza Moazzen,IRI,4,0,5,9,
134,24,Javad Karimisouchelmaei,IRI,0,0,3,3,
