RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
17,19,Daniele Lavia,ITA,35,9,175,219,11.87
23,16,Oleg Antonov,ITA,52,22,211,285,10.53
28,22,Oreste Cavuto,ITA,32,19,188,239,5.44
135,1,Davide Candellaro,ITA,1,0,2,3,
136,2,Riccardo Sbertoli,ITA,0,0,2,2,
137,6,Simone Giannelli,ITA,0,1,4,5,
138,7,Giacomo Raffaelli,ITA,5,4,22,31,
139,11,Fabio Balaso,ITA,26,10,141,177,
140,12,Fabio Ricci,ITA,0,1,0,1,
141,14,Matteo Piano,ITA,1,0,0,1,
142,15,Roberto Russo,ITA,1,1,14,16,
143,17,Simone Anzani,ITA,0,0,2,2,
144,18,Nicola Pesaresi,ITA,9,0,42,51,
145,20,Gabriele Nelli,ITA,0,1,0,1,
146,21,Alberto Polo,ITA,0,0,3,3,
147,28,Francesco Recine,ITA,0,1,1,2,
