RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
8,5,Tatsuya Fukuzawa,JPN,50,14,160,224,16.07
13,14,Yuki Ishikawa,JPN,53,19,186,258,13.18
148,1,Issei Otake,JPN,1,3,0,4,
149,2,Hideomi Fukatsu,JPN,0,0,1,1,
150,3,Naonobu Fujii,JPN,0,0,3,3,
151,6,Akihiro Yamauchi,JPN,0,2,1,3,
152,8,Masahiro Yanagida,JPN,19,10,89,118,
153,10,Taichiro Koga,JPN,16,4,43,63,
154,12,Masahiro Sekita,JPN,0,1,5,6,
155,13,Naoya Takano,JPN,26,6,135,167,
156,15,Haku Ri,JPN,0,0,4,4,
157,17,Tsubasa Hisahara,JPN,3,3,28,34,
158,20,Taishi Onodera,JPN,1,3,5,9,
159,22,Tomohiro Yamamoto,JPN,58,5,135,198,
