RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
21,18,Bartosz Kwolek,POL,61,22,268,351,11.11
160,1,Piotr Nowakowski,POL,1,0,0,1,
161,2,Maciej Muzaj,POL,2,1,4,7,
162,4,Marcin Komenda,POL,0,0,1,1,
163,5,Lukasz Kaczmarek,POL,1,0,4,5,
164,7,Artur Szalpuk,POL,9,5,67,81,
165,8,Jedrzej Gruszczynski,POL,4,1,10,15,
166,10,Damian Wojtaszek,POL,27,6,112,145,
167,11,Fabian Drzyzga,POL,0,0,3,3,
168,12,Grzegorz Lomacz,POL,0,0,1,1,
169,13,Michal Kubiak,POL,8,3,31,42,
170,14,Aleksander Sliwka,POL,33,11,138,182,
171,15,Jakub Kochanowski,POL,0,1,5,6,
172,16,Bartlomiej Boladz,POL,0,1,0,1,
173,17,Pawel Zatorski,POL,20,2,47,69,
174,20,Mateusz Bieniek,POL,0,0,3,3,
175,21,Tomasz Fornal,POL,20,8,69,97,
176,22,Bartosz Bednorz,POL,27,14,123,164,
177,23,Jakub Popiwczak,POL,31,6,118,155,
178,25,Michał Szalacha,POL,0,0,1,1,
179,27,Piotr Łukasik,POL,13,6,54,73,
180,77,Karol Klos,POL,3,2,3,8,
181,99,Norbert Huber,POL,2,1,13,16,
