RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
2,6,Alexandre Ferreira,POR,75,17,195,287,20.21
10,12,Lourenco Martins,POR,48,17,153,218,14.22
182,3,Nuno Teixeira,POR,0,0,2,2,
183,4,Filip Cveticanin,POR,2,0,12,14,
184,5,Gil Pereira,POR,25,8,73,106,
185,7,Marco Evan Baptista Ferreira,POR,0,1,1,2,
186,8,Tiago Da Silva Violas,POR,0,0,1,1,
187,9,Joao Simoes,POR,36,13,101,150,
188,10,Phelipe Martins,POR,3,3,6,12,
189,11,Bruno Cunha,POR,0,1,1,2,
190,13,Caique Oswaldo Ferreira Da Silva,POR,13,9,103,125,
191,15,Miguel Tavares Rodrigues,POR,0,1,3,4,
192,17,Joao Fidalgo,POR,21,7,71,99,
