RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
20,27,Valentin Golubev,RUS,55,19,242,316,11.39
193,2,Ilia Vlasov,RUS,0,0,1,1,
194,4,Denis Zemchenok,RUS,0,3,2,5,
195,7,Dmitry Volkov,RUS,34,13,136,183,
196,8,Anton Semyshev,RUS,11,5,41,57,
197,9,Ivan Iakovlev,RUS,4,0,6,10,
198,10,Fedor Voronkov,RUS,36,7,120,163,
199,11,Igor Philippov,RUS,1,0,8,9,
200,14,Yaroslav Podlesnykh,RUS,18,11,152,181,
201,18,Egor Kliuka,RUS,40,13,131,184,
202,20,Ilyas Kurkaev,RUS,1,2,2,5,
203,22,Roman Martynyuk,RUS,4,3,49,56,
204,24,Igor Kobzar,RUS,0,1,7,8,
205,29,Kirill Ursov,RUS,4,2,6,12,
