RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
11,6,Nikola Pekovic,SRB,46,11,191,248,14.11
19,5,Lazar Cirovic,SRB,67,30,223,320,11.56
206,1,Aleksandar Okolic,SRB,1,1,2,4,
207,3,Milan Katic,SRB,34,10,147,191,
208,4,Nemanja Petric,SRB,3,2,27,32,
209,7,Petar Krsmanovic,SRB,3,0,1,4,
210,8,Marko Ivovic,SRB,2,2,37,41,
211,9,Nikola Jovovic,SRB,0,0,1,1,
212,10,Miran Kujundžić,SRB,23,16,102,141,
213,11,Aleksa Batak,SRB,0,0,2,2,
214,13,Stevan Simic,SRB,1,0,1,2,
215,17,Neven Majstorovic,SRB,2,5,36,43,
216,19,Stefan Negic,SRB,2,1,8,11,
217,20,Srecko Lisinac,SRB,5,0,5,10,
218,21,Vuk Todorovic,SRB,1,1,6,8,
219,22,Andrija Vilimanovic,SRB,0,0,2,2,
220,23,Bozidar Vucicevic,SRB,0,1,1,2,
221,24,David Mehic,SRB,11,9,57,77,
222,27,Stefan Kovacevic,SRB,2,0,2,4,
223,28,Danilo Pavlovic,SRB,1,2,3,6,
