RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
4,18,Garrett Muagututia,USA,74,15,228,317,18.61
224,1,Matthew Anderson,USA,7,2,32,41,
225,2,Aaron Russell,USA,5,4,24,33,
226,3,Taylor Sander,USA,45,11,123,179,
227,4,Jeffrey Jendryk Ii,USA,1,1,4,6,
228,5,Kyle Ensing,USA,0,0,2,2,
229,6,Mitchell Stahl,USA,2,1,3,6,
230,8,Torey Defalco,USA,22,7,145,174,
231,9,Jake Langlois,USA,4,2,32,38,
232,11,Micah Christenson,USA,0,0,4,4,
233,12,Maxwell Holt,USA,0,0,2,2,
234,13,Benjamin Patch,USA,0,1,0,1,
235,14,Micah Ma'a,USA,7,6,57,70,
236,16,Joshua Tuaniga,USA,0,1,1,2,
237,17,Thomas Jaeschke,USA,5,5,54,64,
238,19,Taylor Averill,USA,0,0,4,4,
239,20,David Smith,USA,1,0,5,6,
240,21,Dustin Watten,USA,8,2,39,49,
241,22,Erik Shoji,USA,55,8,147,210,
242,23,Larry Tuileta Jr.,USA,0,0,1,1,
243,24,Kyle Dagostino,USA,12,4,59,75,
244,25,Kyle Russell,USA,0,1,0,1,
245,30,George Huhmann,USA,2,0,3,5,
