RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
6,12,Bruno Lima,ARG,177,16,6,199
15,7,Facundo Conte,ARG,138,15,8,161
53,13,Ezequiel Palacios,ARG,93,5,9,107
76,2,Federico Pereyra,ARG,79,2,3,84
81,8,Agustin Loser,ARG,50,26,5,81
89,11,Sebastian Solé,ARG,53,21,3,77
105,6,Cristian Poglajen,ARG,59,4,4,67
109,18,Martin Ramos,ARG,56,8,0,64
134,3,Jan Martinez Franchi,ARG,38,3,4,45
140,14,Pablo Crer,ARG,34,7,1,42
175,5,Nicolas Uriarte,ARG,8,6,9,23
179,17,Nicolas Mendez,ARG,18,2,2,22
204,15,Luciano De Cecco,ARG,7,2,2,11
227,4,Maximiliano Cavanna,ARG,2,3,0,5
