RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
9,18,Lincoln Alexander Williams,AUS,156,10,12,178
34,15,Luke Smith,AUS,109,11,11,131
63,13,Samuel Walker,AUS,75,5,16,96
84,1,Beau Graham,AUS,54,15,11,80
88,10,Jordan Richards,AUS,60,8,10,78
98,22,Curtis Jeffrey Arthur Stockton,AUS,60,7,2,69
106,8,Trent O'dea,AUS,47,15,5,67
112,2,Arshdeep Dosanjh,AUS,29,13,17,59
136,23,James Weir,AUS,27,11,5,43
141,9,Max Staples,AUS,33,5,4,42
182,12,Nehemiah Mote,AUS,13,7,1,21
202,24,Elliott Viles,AUS,7,1,4,12
242,7,Harrison Peacock,AUS,0,2,0,2
