RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
3,18,Ricardo Lucarelli Souza,BRA,173,14,23,210
5,9,Yoandy Leal Hidalgo,BRA,161,22,19,202
13,8,Wallace De Souza,BRA,152,9,3,164
33,21,Alan Souza,BRA,115,7,10,132
43,14,Douglas Correia De Souza,BRA,106,8,2,116
50,23,Flavio Gualberto,BRA,73,31,6,110
55,16,Lucas Saatkamp,BRA,82,18,6,106
93,2,Isac Santos,BRA,55,12,7,74
110,13,Mauricio Luiz De Souza,BRA,44,14,6,64
183,19,Mauricio Borges Almeida Silva,BRA,20,1,0,21
184,6,Fernando Gil Kreling,BRA,2,13,5,20
198,1,Bruno Mossa Rezende,BRA,5,7,2,14
233,5,Lucas Eduardo Loh,BRA,4,0,0,4
243,3,Eder Carbonera,BRA,1,0,1,2
244,20,Thiago Pontes Veloso,BRA,0,2,0,2
