RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
18,19,Tsvetan Sokolov,BUL,141,10,8,159
38,6,Rozalin Penchev,BUL,107,7,8,122
66,7,Nikolay Uchikov,BUL,84,6,3,93
75,5,Svetoslav Gotsev,BUL,51,28,6,85
90,8,Todor Skrimov,BUL,65,6,6,77
99,4,Martin Atanasov,BUL,60,5,4,69
126,17,Nikolay Penchev,BUL,41,7,0,48
127,20,Aleks Grozdanov,BUL,36,9,3,48
145,2,Krasimir Georgiev,BUL,23,17,1,41
164,9,Georgi Seganov,BUL,10,8,11,29
168,14,Teodor Todorov,BUL,17,11,0,28
191,12,Viktor Yosifov,BUL,11,4,2,17
199,11,Velizar Chernokozhev,BUL,11,1,1,13
209,1,Georgi Bratoev,BUL,7,1,2,10
210,18,Nikolay Nikolov,BUL,7,3,0,10
223,10,Valentin Bratoev,BUL,4,1,1,6
234,26,Plamen Shekerdzhiev,BUL,3,1,0,4
239,25,Radoslav Parapunov,BUL,3,0,0,3
250,30,Nikolay Kolev,BUL,1,0,0,1
