RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
17,10,Sharone Vernon-Evans,CAN,130,16,14,160
20,7,Stephen Timothy Maar,CAN,136,12,10,158
35,4,Nicholas Hoag,CAN,113,9,6,128
51,16,Ryan Joseph Sclater,CAN,98,6,6,110
52,17,Graham Vigrass,CAN,67,31,12,110
72,2,John Gordon Perrin,CAN,74,12,2,88
116,20,Arthur Szwarc,CAN,38,19,1,58
142,9,Jason Derocco,CAN,37,4,1,42
149,12,Lucas Van Berkel,CAN,26,14,0,40
165,21,Brett James Walsh,CAN,7,12,10,29
194,11,Daniel Jansen Vandoorn,CAN,8,7,0,15
205,5,Deanan Gyimah,CAN,9,1,1,11
224,14,Eric Loeppky,CAN,6,0,0,6
240,6,Justin Duff,CAN,2,1,0,3
245,24,Adam Schriemer,CAN,0,0,2,2
251,1,Tyler Sanders,CAN,0,0,1,1
