RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
10,2,Chuan Jiang,CHN,152,19,6,177
47,1,Qingyao Dai,CHN,88,18,6,112
70,17,Libin Liu,CHN,69,13,7,89
100,20,Shuhan Rao,CHN,44,17,8,69
117,13,Longhai Chen,CHN,41,13,4,58
124,11,Haixiang Du,CHN,46,2,2,50
132,12,Zhejia Zhang,CHN,29,14,3,46
152,8,Jingyi Wang,CHN,32,2,4,38
153,10,Daoshuai Ji,CHN,32,2,3,37
200,23,Shikun Peng,CHN,10,3,0,13
203,19,Guojun Zhan,CHN,2,5,5,12
217,9,Yaochen Yu,CHN,4,4,0,8
218,21,Ruantong Miao,CHN,5,3,0,8
228,3,Tianyi Mao,CHN,1,2,2,5
