RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
16,4,Jean Patry,FRA,148,13,0,161
41,12,Stephen Boyer,FRA,101,8,8,117
59,21,Barthélémy Chinenyeze,FRA,81,20,2,103
64,7,Kevin Tillie,FRA,80,11,4,95
85,17,Trevor Clevenot,FRA,62,10,8,80
96,8,Julien Lyneel,FRA,55,7,10,72
97,14,Nicolas Le Goff,FRA,53,17,1,71
101,18,Thibault Rossard,FRA,57,4,8,69
122,10,Kevin Le Roux,FRA,27,19,6,52
128,19,Yacine Louati,FRA,44,3,1,48
137,23,Timothée Carle,FRA,42,1,0,43
146,16,Daryl Bultor,FRA,32,2,7,41
156,11,Antoine Brizard,FRA,11,14,8,33
166,1,Jonas Aguenier,FRA,22,7,0,29
176,9,Earvin Ngapeth,FRA,21,2,0,23
246,5,Raphaël Corre,FRA,0,2,0,2
247,6,Benjamin Toniutti,FRA,1,1,0,2
