RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
4,13,Simon Hirsch,GER,170,21,13,204
26,1,Christian Fromm,GER,133,2,9,144
42,3,Ruben Schott,GER,92,10,15,117
57,12,Anton Brehme,GER,84,20,1,105
71,5,Moritz Reichert,GER,81,3,5,89
107,15,Noah Baxpöhler,GER,44,13,8,65
119,8,Marcus Böhme,GER,40,11,4,55
138,2,Tobias Krick,GER,38,4,1,43
139,7,David Sossenheimer,GER,33,2,8,43
167,20,Linus Weber,GER,23,4,2,29
170,19,Daniel Malescha,GER,26,0,0,26
192,17,Jan Zimmermann,GER,3,5,9,17
219,11,Lukas Kampa,GER,4,1,3,8
229,16,Tomas Kocian-Falkenbach,GER,1,0,4,5
230,18,Jakob Günthör,GER,3,1,1,5
