RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
1,10,Amir Ghafour,IRI,214,21,14,249
12,2,Milad Ebadipour Ghara H.,IRI,141,15,9,165
25,7,Purya Fayazi D.,IRI,119,13,14,146
30,6,Seyed Mohammad Mousavi Eraghi,IRI,94,32,12,138
48,16,Ali Shafiei,IRI,81,20,11,112
113,20,Porya Yali,IRI,51,7,1,59
129,15,Aliasghar Mojarad,IRI,26,18,4,48
150,14,Mohammadjavad Manavinezhad,IRI,35,3,2,40
154,4,Mir Saeid Marouflakrani,IRI,18,12,6,36
162,5,Farhad Ghaemi,IRI,23,2,5,30
201,9,Masoud Gholami,IRI,9,4,0,13
231,24,Javad Karimisouchelmaei,IRI,3,1,1,5
252,21,Morteza Sharifi,IRI,1,0,0,1
